YearWeekISO,FirstDose,FirstDoseRefused,SecondDose,UnknownDose,NumberDosesReceived,Region,Population,ReportingCountry,TargetGroup,Vaccine,Denominator
2021-W01,0,0,0,0,0,AT,8901064,AT,Age18_24,MOD,696064
2021-W01,0,0,0,0,0,AT,8901064,AT,Age25_49,AZ,3006228
2021-W01,10408,0,0,0,61425,AT,8901064,AT,Age25_49,COM,3006228
2021-W01,0,0,0,0,0,AT,8901064,AT,Age25_49,MOD,3006228
2021-W01,0,0,0,0,0,AT,8901064,AT,Age50_59,MOD,1396889
2021-W01,6410,0,0,0,61425,AT,8901064,AT,Age50_59,COM,1396889
2021-W01,0,0,0,0,0,AT,8901064,AT,Age50_59,AZ,1396889
2021-W01,2113,0,0,0,61425,AT,8901064,AT,Age60_69,COM,1016016
2021-W01,0,0,0,0,0,AT,8901064,AT,Age60_69,AZ,1016016
2021-W01,0,0,0,0,0,AT,8901064,AT,Age60_69,MOD,1016016
2021-W01,1509,0,0,0,61425,AT,8901064,AT,Age70_79,COM,769199
2021-W01,0,0,0,0,0,AT,8901064,AT,Age70_79,MOD,769199
2021-W01,0,0,0,0,0,AT,8901064,AT,Age70_79,AZ,769199
2021-W01,0,0,0,0,0,AT,8901064,AT,Age80+,MOD,474047
2021-W01,0,0,0,0,0,AT,8901064,AT,Age80+,AZ,474047
2021-W01,3654,0,0,0,61425,AT,8901064,AT,Age80+,COM,474047
2021-W02,0,0,0,0,0,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W02,36882,0,171,0,61425,AT,8901064,AT,1_Age60+,COM,2259262
2021-W02,71,0,0,0,0,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W02,0,0,0,0,0,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W02,43398,0,196,0,61425,AT,8901064,AT,1_Age<60,COM,5099181
2021-W02,6,0,0,0,0,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W02,80280,0,367,0,61425,AT,8901064,AT,ALL,COM,7358443
2021-W02,77,0,0,0,0,AT,8901064,AT,ALL,MOD,7358443
2021-W02,0,0,0,0,0,AT,8901064,AT,ALL,AZ,7358443
2021-W02,0,0,0,0,0,AT,8901064,AT,Age18_24,MOD,696064
2021-W02,0,0,0,0,0,AT,8901064,AT,Age18_24,AZ,696064
2021-W02,2611,0,13,0,61425,AT,8901064,AT,Age18_24,COM,696064
2021-W02,0,0,0,0,0,AT,8901064,AT,Age25_49,AZ,3006228
2021-W02,23617,0,91,0,61425,AT,8901064,AT,Age25_49,COM,3006228
2021-W02,1,0,0,0,0,AT,8901064,AT,Age25_49,MOD,3006228
2021-W02,0,0,0,0,0,AT,8901064,AT,Age50_59,AZ,1396889
2021-W02,17046,0,91,0,61425,AT,8901064,AT,Age50_59,COM,1396889
2021-W02,5,0,0,0,0,AT,8901064,AT,Age50_59,MOD,1396889
2021-W02,0,0,0,0,0,AT,8901064,AT,Age60_69,AZ,1016016
2021-W02,8491,0,40,0,61425,AT,8901064,AT,Age60_69,COM,1016016
2021-W02,4,0,0,0,0,AT,8901064,AT,Age60_69,MOD,1016016
2021-W02,0,0,0,0,0,AT,8901064,AT,Age70_79,AZ,769199
2021-W02,5,0,0,0,0,AT,8901064,AT,Age70_79,MOD,769199
2021-W02,7895,0,47,0,61425,AT,8901064,AT,Age70_79,COM,769199
2021-W02,62,0,0,0,0,AT,8901064,AT,Age80+,MOD,474047
2021-W02,0,0,0,0,0,AT,8901064,AT,Age80+,AZ,474047
2021-W02,20496,0,84,0,61425,AT,8901064,AT,Age80+,COM,474047
2021-W03,0,0,0,0,0,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W03,39098,0,2237,0,58500,AT,8901064,AT,1_Age60+,COM,2259262
2021-W03,22,0,0,0,7200,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W03,181,0,0,0,7200,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W03,0,0,0,0,0,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W03,51361,0,2106,0,58500,AT,8901064,AT,1_Age<60,COM,5099181
2021-W03,0,0,0,0,0,AT,8901064,AT,ALL,AZ,7358443
2021-W03,90459,0,4343,0,58500,AT,8901064,AT,ALL,COM,7358443
2021-W03,203,0,0,0,7200,AT,8901064,AT,ALL,MOD,7358443
2021-W03,23,0,0,0,7200,AT,8901064,AT,Age18_24,MOD,696064
2021-W03,0,0,0,0,0,AT,8901064,AT,Age18_24,AZ,696064
2021-W03,3568,0,96,0,58500,AT,8901064,AT,Age18_24,COM,696064
2021-W03,107,0,0,0,7200,AT,8901064,AT,Age25_49,MOD,3006228
2021-W03,29572,0,1148,0,58500,AT,8901064,AT,Age25_49,COM,3006228
2021-W03,0,0,0,0,0,AT,8901064,AT,Age25_49,AZ,3006228
2021-W03,51,0,0,0,7200,AT,8901064,AT,Age50_59,MOD,1396889
2021-W03,18136,0,858,0,58500,AT,8901064,AT,Age50_59,COM,1396889
2021-W03,0,0,0,0,0,AT,8901064,AT,Age50_59,AZ,1396889
2021-W03,0,0,0,0,0,AT,8901064,AT,Age60_69,AZ,1016016
2021-W03,6,0,0,0,7200,AT,8901064,AT,Age60_69,MOD,1016016
2021-W03,6890,0,438,0,58500,AT,8901064,AT,Age60_69,COM,1016016
2021-W03,0,0,0,0,0,AT,8901064,AT,Age70_79,AZ,769199
2021-W03,7,0,0,0,7200,AT,8901064,AT,Age70_79,MOD,769199
2021-W03,7038,0,498,0,58500,AT,8901064,AT,Age70_79,COM,769199
2021-W03,0,0,0,0,0,AT,8901064,AT,Age80+,AZ,474047
2021-W03,9,0,0,0,7200,AT,8901064,AT,Age80+,MOD,474047
2021-W03,25170,0,1301,0,58500,AT,8901064,AT,Age80+,COM,474047
2021-W04,0,0,0,0,0,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W04,13465,0,5898,0,54990,AT,8901064,AT,1_Age60+,COM,2259262
2021-W04,1131,0,0,0,0,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W04,2562,0,0,0,0,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W04,0,0,0,0,0,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W04,13134,0,10904,0,54990,AT,8901064,AT,1_Age<60,COM,5099181
2021-W04,26599,0,16802,0,54990,AT,8901064,AT,ALL,COM,7358443
2021-W04,0,0,0,0,0,AT,8901064,AT,ALL,AZ,7358443
2021-W04,3693,0,0,0,0,AT,8901064,AT,ALL,MOD,7358443
2021-W04,1267,0,681,0,54990,AT,8901064,AT,Age18_24,COM,696064
2021-W04,67,0,0,0,0,AT,8901064,AT,Age18_24,MOD,696064
2021-W04,0,0,0,0,0,AT,8901064,AT,Age18_24,AZ,696064
2021-W04,1538,0,0,0,0,AT,8901064,AT,Age25_49,MOD,3006228
2021-W04,0,0,0,0,0,AT,8901064,AT,Age25_49,AZ,3006228
2021-W04,7431,0,6108,0,54990,AT,8901064,AT,Age25_49,COM,3006228
2021-W04,4415,0,4075,0,54990,AT,8901064,AT,Age50_59,COM,1396889
2021-W04,956,0,0,0,0,AT,8901064,AT,Age50_59,MOD,1396889
2021-W04,0,0,0,0,0,AT,8901064,AT,Age50_59,AZ,1396889
2021-W04,0,0,0,0,0,AT,8901064,AT,Age60_69,AZ,1016016
2021-W04,1624,0,1617,0,54990,AT,8901064,AT,Age60_69,COM,1016016
2021-W04,598,0,0,0,0,AT,8901064,AT,Age60_69,MOD,1016016
2021-W04,0,0,0,0,0,AT,8901064,AT,Age70_79,AZ,769199
2021-W04,1553,0,1235,0,54990,AT,8901064,AT,Age70_79,COM,769199
2021-W04,175,0,0,0,0,AT,8901064,AT,Age70_79,MOD,769199
2021-W04,0,0,0,0,0,AT,8901064,AT,Age80+,AZ,474047
2021-W04,10288,0,3046,0,54990,AT,8901064,AT,Age80+,COM,474047
2021-W04,358,0,0,0,0,AT,8901064,AT,Age80+,MOD,474047
2021-W05,0,0,0,0,36000,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W05,5063,0,31125,0,66690,AT,8901064,AT,1_Age60+,COM,2259262
2021-W05,1210,0,1,0,28800,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W05,301,0,0,0,28800,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W05,11310,0,43314,0,66690,AT,8901064,AT,1_Age<60,COM,5099181
2021-W05,0,0,0,0,36000,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W05,0,0,0,0,36000,AT,8901064,AT,ALL,AZ,7358443
2021-W05,1511,0,1,0,28800,AT,8901064,AT,ALL,MOD,7358443
2021-W05,16373,0,74439,0,66690,AT,8901064,AT,ALL,COM,7358443
2021-W05,889,0,2566,0,66690,AT,8901064,AT,Age18_24,COM,696064
2021-W05,0,0,0,0,36000,AT,8901064,AT,Age18_24,AZ,696064
2021-W05,12,0,0,0,28800,AT,8901064,AT,Age18_24,MOD,696064
2021-W05,0,0,0,0,36000,AT,8901064,AT,Age25_49,AZ,3006228
2021-W05,180,0,0,0,28800,AT,8901064,AT,Age25_49,MOD,3006228
2021-W05,6236,0,24133,0,66690,AT,8901064,AT,Age25_49,COM,3006228
2021-W05,0,0,0,0,36000,AT,8901064,AT,Age50_59,AZ,1396889
2021-W05,4136,0,16506,0,66690,AT,8901064,AT,Age50_59,COM,1396889
2021-W05,109,0,0,0,28800,AT,8901064,AT,Age50_59,MOD,1396889
2021-W05,0,0,0,0,36000,AT,8901064,AT,Age60_69,AZ,1016016
2021-W05,1540,0,7523,0,66690,AT,8901064,AT,Age60_69,COM,1016016
2021-W05,29,0,0,0,28800,AT,8901064,AT,Age60_69,MOD,1016016
2021-W05,0,0,0,0,36000,AT,8901064,AT,Age70_79,AZ,769199
2021-W05,1162,0,6561,0,66690,AT,8901064,AT,Age70_79,COM,769199
2021-W05,31,0,0,0,28800,AT,8901064,AT,Age70_79,MOD,769199
2021-W05,1150,0,1,0,28800,AT,8901064,AT,Age80+,MOD,474047
2021-W05,2361,0,17041,0,66690,AT,8901064,AT,Age80+,COM,474047
2021-W05,0,0,0,0,36000,AT,8901064,AT,Age80+,AZ,474047
2021-W06,1638,0,73,0,0,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W06,5527,0,35428,0,66690,AT,8901064,AT,1_Age60+,COM,2259262
2021-W06,569,0,0,0,43200,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W06,2185,0,6,0,0,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W06,7548,0,48769,0,66690,AT,8901064,AT,1_Age<60,COM,5099181
2021-W06,9604,0,0,0,43200,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W06,10173,0,0,0,43200,AT,8901064,AT,ALL,AZ,7358443
2021-W06,13075,0,84197,0,66690,AT,8901064,AT,ALL,COM,7358443
2021-W06,3823,0,79,0,0,AT,8901064,AT,ALL,MOD,7358443
2021-W06,577,0,3267,0,66690,AT,8901064,AT,Age18_24,COM,696064
2021-W06,94,0,0,0,0,AT,8901064,AT,Age18_24,MOD,696064
2021-W06,2154,0,0,0,43200,AT,8901064,AT,Age18_24,AZ,696064
2021-W06,1246,0,1,0,0,AT,8901064,AT,Age25_49,MOD,3006228
2021-W06,4196,0,28045,0,66690,AT,8901064,AT,Age25_49,COM,3006228
2021-W06,5016,0,0,0,43200,AT,8901064,AT,Age25_49,AZ,3006228
2021-W06,845,0,5,0,0,AT,8901064,AT,Age50_59,MOD,1396889
2021-W06,2735,0,17380,0,66690,AT,8901064,AT,Age50_59,COM,1396889
2021-W06,2416,0,0,0,43200,AT,8901064,AT,Age50_59,AZ,1396889
2021-W06,301,0,4,0,0,AT,8901064,AT,Age60_69,MOD,1016016
2021-W06,561,0,0,0,43200,AT,8901064,AT,Age60_69,AZ,1016016
2021-W06,1333,0,6661,0,66690,AT,8901064,AT,Age60_69,COM,1016016
2021-W06,6,0,0,0,43200,AT,8901064,AT,Age70_79,AZ,769199
2021-W06,1374,0,6229,0,66690,AT,8901064,AT,Age70_79,COM,769199
2021-W06,425,0,5,0,0,AT,8901064,AT,Age70_79,MOD,769199
2021-W06,2,0,0,0,43200,AT,8901064,AT,Age80+,AZ,474047
2021-W06,912,0,64,0,0,AT,8901064,AT,Age80+,MOD,474047
2021-W06,2820,0,22538,0,66690,AT,8901064,AT,Age80+,COM,474047
2021-W07,2337,0,19,0,0,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W07,2241,0,1,0,76800,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W07,21704,0,19663,0,80730,AT,8901064,AT,1_Age60+,COM,2259262
2021-W07,4178,0,18512,0,80730,AT,8901064,AT,1_Age<60,COM,5099181
2021-W07,29094,0,1,0,76800,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W07,1522,0,176,0,0,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W07,25882,0,38175,0,80730,AT,8901064,AT,ALL,COM,7358443
2021-W07,3859,0,195,0,0,AT,8901064,AT,ALL,MOD,7358443
2021-W07,31335,0,2,0,76800,AT,8901064,AT,ALL,AZ,7358443
2021-W07,262,0,1616,0,80730,AT,8901064,AT,Age18_24,COM,696064
2021-W07,3550,0,0,0,76800,AT,8901064,AT,Age18_24,AZ,696064
2021-W07,69,0,21,0,0,AT,8901064,AT,Age18_24,MOD,696064
2021-W07,2312,0,10324,0,80730,AT,8901064,AT,Age25_49,COM,3006228
2021-W07,16519,0,1,0,76800,AT,8901064,AT,Age25_49,AZ,3006228
2021-W07,803,0,106,0,0,AT,8901064,AT,Age25_49,MOD,3006228
2021-W07,646,0,49,0,0,AT,8901064,AT,Age50_59,MOD,1396889
2021-W07,1568,0,6542,0,80730,AT,8901064,AT,Age50_59,COM,1396889
2021-W07,8963,0,0,0,76800,AT,8901064,AT,Age50_59,AZ,1396889
2021-W07,2167,0,1,0,76800,AT,8901064,AT,Age60_69,AZ,1016016
2021-W07,1408,0,2630,0,80730,AT,8901064,AT,Age60_69,COM,1016016
2021-W07,497,0,6,0,0,AT,8901064,AT,Age60_69,MOD,1016016
2021-W07,67,0,0,0,76800,AT,8901064,AT,Age70_79,AZ,769199
2021-W07,2621,0,3017,0,80730,AT,8901064,AT,Age70_79,COM,769199
2021-W07,584,0,6,0,0,AT,8901064,AT,Age70_79,MOD,769199
2021-W07,17675,0,14016,0,80730,AT,8901064,AT,Age80+,COM,474047
2021-W07,1256,0,7,0,0,AT,8901064,AT,Age80+,MOD,474047
2021-W07,7,0,0,0,76800,AT,8901064,AT,Age80+,AZ,474047
2021-W08,2616,0,1039,0,37200,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W08,38436,0,5336,0,84240,AT,8901064,AT,1_Age60+,COM,2259262
2021-W08,4541,0,0,0,0,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W08,4055,0,11004,0,84240,AT,8901064,AT,1_Age<60,COM,5099181
2021-W08,1692,0,2451,0,37200,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W08,50935,0,4,0,0,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W08,42491,0,16340,0,84240,AT,8901064,AT,ALL,COM,7358443
2021-W08,4308,0,3490,0,37200,AT,8901064,AT,ALL,MOD,7358443
2021-W08,55476,0,4,0,0,AT,8901064,AT,ALL,AZ,7358443
2021-W08,6893,0,1,0,0,AT,8901064,AT,Age18_24,AZ,696064
2021-W08,234,0,878,0,84240,AT,8901064,AT,Age18_24,COM,696064
2021-W08,120,0,67,0,37200,AT,8901064,AT,Age18_24,MOD,696064
2021-W08,28774,0,2,0,0,AT,8901064,AT,Age25_49,AZ,3006228
2021-W08,2106,0,6007,0,84240,AT,8901064,AT,Age25_49,COM,3006228
2021-W08,793,0,1471,0,37200,AT,8901064,AT,Age25_49,MOD,3006228
2021-W08,15149,0,1,0,0,AT,8901064,AT,Age50_59,AZ,1396889
2021-W08,1674,0,4069,0,84240,AT,8901064,AT,Age50_59,COM,1396889
2021-W08,775,0,912,0,37200,AT,8901064,AT,Age50_59,MOD,1396889
2021-W08,4302,0,0,0,0,AT,8901064,AT,Age60_69,AZ,1016016
2021-W08,1839,0,1616,0,84240,AT,8901064,AT,Age60_69,COM,1016016
2021-W08,945,0,577,0,37200,AT,8901064,AT,Age60_69,MOD,1016016
2021-W08,222,0,0,0,0,AT,8901064,AT,Age70_79,AZ,769199
2021-W08,3554,0,1215,0,84240,AT,8901064,AT,Age70_79,COM,769199
2021-W08,901,0,162,0,37200,AT,8901064,AT,Age70_79,MOD,769199
2021-W08,17,0,0,0,0,AT,8901064,AT,Age80+,AZ,474047
2021-W08,33043,0,2505,0,84240,AT,8901064,AT,Age80+,COM,474047
2021-W08,770,0,300,0,37200,AT,8901064,AT,Age80+,MOD,474047
2021-W09,81000,0,5208,0,88920,AT,8901064,AT,1_Age60+,COM,2259262
2021-W09,5219,0,1,0,67200,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W09,4344,0,1130,0,0,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W09,3059,0,171,0,0,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W09,6685,0,7281,0,88920,AT,8901064,AT,1_Age<60,COM,5099181
2021-W09,46070,0,1,0,67200,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W09,7403,0,1301,0,0,AT,8901064,AT,ALL,MOD,7358443
2021-W09,87685,0,12489,0,88920,AT,8901064,AT,ALL,COM,7358443
2021-W09,51289,0,2,0,67200,AT,8901064,AT,ALL,AZ,7358443
2021-W09,367,0,576,0,88920,AT,8901064,AT,Age18_24,COM,696064
2021-W09,277,0,6,0,0,AT,8901064,AT,Age18_24,MOD,696064
2021-W09,5081,0,0,0,67200,AT,8901064,AT,Age18_24,AZ,696064
2021-W09,2912,0,4031,0,88920,AT,8901064,AT,Age25_49,COM,3006228
2021-W09,26145,0,0,0,67200,AT,8901064,AT,Age25_49,AZ,3006228
2021-W09,1527,0,99,0,0,AT,8901064,AT,Age25_49,MOD,3006228
2021-W09,14759,0,1,0,67200,AT,8901064,AT,Age50_59,AZ,1396889
2021-W09,3338,0,2642,0,88920,AT,8901064,AT,Age50_59,COM,1396889
2021-W09,1243,0,66,0,0,AT,8901064,AT,Age50_59,MOD,1396889
2021-W09,4333,0,0,0,67200,AT,8901064,AT,Age60_69,AZ,1016016
2021-W09,3925,0,1228,0,88920,AT,8901064,AT,Age60_69,COM,1016016
2021-W09,1137,0,27,0,0,AT,8901064,AT,Age60_69,MOD,1016016
2021-W09,2319,0,27,0,0,AT,8901064,AT,Age70_79,MOD,769199
2021-W09,6825,0,1289,0,88920,AT,8901064,AT,Age70_79,COM,769199
2021-W09,748,0,1,0,67200,AT,8901064,AT,Age70_79,AZ,769199
2021-W09,138,0,0,0,67200,AT,8901064,AT,Age80+,AZ,474047
2021-W09,70250,0,2691,0,88920,AT,8901064,AT,Age80+,COM,474047
2021-W09,888,0,1076,0,0,AT,8901064,AT,Age80+,MOD,474047
2021-W10,17288,0,9,0,146400,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W10,89975,0,20801,0,190710,AT,8901064,AT,1_Age60+,COM,2259262
2021-W10,4542,0,1544,0,49200,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W10,56154,0,10,0,146400,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W10,42054,0,4672,0,190710,AT,8901064,AT,1_Age<60,COM,5099181
2021-W10,5808,0,2023,0,49200,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W10,10350,0,3567,0,49200,AT,8901064,AT,ALL,MOD,7358443
2021-W10,132029,0,25473,0,190710,AT,8901064,AT,ALL,COM,7358443
2021-W10,73442,0,19,0,146400,AT,8901064,AT,ALL,AZ,7358443
2021-W10,4938,0,1,0,146400,AT,8901064,AT,Age18_24,AZ,696064
2021-W10,4748,0,271,0,190710,AT,8901064,AT,Age18_24,COM,696064
2021-W10,573,0,77,0,49200,AT,8901064,AT,Age18_24,MOD,696064
2021-W10,3333,0,1136,0,49200,AT,8901064,AT,Age25_49,MOD,3006228
2021-W10,33076,0,7,0,146400,AT,8901064,AT,Age25_49,AZ,3006228
2021-W10,22590,0,2609,0,190710,AT,8901064,AT,Age25_49,COM,3006228
2021-W10,1873,0,810,0,49200,AT,8901064,AT,Age50_59,MOD,1396889
2021-W10,13525,0,1757,0,190710,AT,8901064,AT,Age50_59,COM,1396889
2021-W10,18032,0,2,0,146400,AT,8901064,AT,Age50_59,AZ,1396889
2021-W10,1577,0,274,0,49200,AT,8901064,AT,Age60_69,MOD,1016016
2021-W10,14248,0,1386,0,190710,AT,8901064,AT,Age60_69,COM,1016016
2021-W10,9972,0,3,0,146400,AT,8901064,AT,Age60_69,AZ,1016016
2021-W10,6613,0,2,0,146400,AT,8901064,AT,Age70_79,AZ,769199
2021-W10,23075,0,2526,0,190710,AT,8901064,AT,Age70_79,COM,769199
2021-W10,2607,0,376,0,49200,AT,8901064,AT,Age70_79,MOD,769199
2021-W10,52652,0,16889,0,190710,AT,8901064,AT,Age80+,COM,474047
2021-W10,358,0,894,0,49200,AT,8901064,AT,Age80+,MOD,474047
2021-W10,703,0,4,0,146400,AT,8901064,AT,Age80+,AZ,474047
2021-W11,19817,0,8,0,19200,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W11,13782,0,1738,0,49200,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W11,62905,0,32424,0,93600,AT,8901064,AT,1_Age60+,COM,2259262
2021-W11,10537,0,1617,0,49200,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W11,12559,0,3339,0,93600,AT,8901064,AT,1_Age<60,COM,5099181
2021-W11,42249,0,22,0,19200,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W11,75464,0,35763,0,93600,AT,8901064,AT,ALL,COM,7358443
2021-W11,62066,0,30,0,19200,AT,8901064,AT,ALL,AZ,7358443
2021-W11,24319,0,3355,0,49200,AT,8901064,AT,ALL,MOD,7358443
2021-W11,933,0,214,0,93600,AT,8901064,AT,Age18_24,COM,696064
2021-W11,1120,0,83,0,49200,AT,8901064,AT,Age18_24,MOD,696064
2021-W11,2869,0,1,0,19200,AT,8901064,AT,Age18_24,AZ,696064
2021-W11,5215,0,898,0,49200,AT,8901064,AT,Age25_49,MOD,3006228
2021-W11,5813,0,1800,0,93600,AT,8901064,AT,Age25_49,COM,3006228
2021-W11,24273,0,11,0,19200,AT,8901064,AT,Age25_49,AZ,3006228
2021-W11,15065,0,10,0,19200,AT,8901064,AT,Age50_59,AZ,1396889
2021-W11,5567,0,1294,0,93600,AT,8901064,AT,Age50_59,COM,1396889
2021-W11,4146,0,634,0,49200,AT,8901064,AT,Age50_59,MOD,1396889
2021-W11,4066,0,294,0,49200,AT,8901064,AT,Age60_69,MOD,1016016
2021-W11,11065,0,1375,0,93600,AT,8901064,AT,Age60_69,COM,1016016
2021-W11,9510,0,5,0,19200,AT,8901064,AT,Age60_69,AZ,1016016
2021-W11,6712,0,336,0,49200,AT,8901064,AT,Age70_79,MOD,769199
2021-W11,25736,0,2813,0,93600,AT,8901064,AT,Age70_79,COM,769199
2021-W11,7547,0,0,0,19200,AT,8901064,AT,Age70_79,AZ,769199
2021-W11,2760,0,3,0,19200,AT,8901064,AT,Age80+,AZ,474047
2021-W11,26104,0,28236,0,93600,AT,8901064,AT,Age80+,COM,474047
2021-W11,3004,0,1108,0,49200,AT,8901064,AT,Age80+,MOD,474047
2020-W53,611,,0,0,,BE,11522440,BE,1_Age60+,COM,2928626
2020-W53,183,,0,0,,BE,11522440,BE,1_Age<60,COM,6273570
2020-W53,794,,0,0,9750,BE,11522440,BE,ALL,COM,9202196
2020-W53,15,,0,0,,BE,11522440,BE,Age18_24,COM,930629
2020-W53,100,,0,0,,BE,11522440,BE,Age25_49,COM,3751281
2020-W53,68,,0,0,,BE,11522440,BE,Age50_59,COM,1591660
2020-W53,61,,0,0,,BE,11522440,BE,Age60_69,COM,1347513
2020-W53,76,,0,0,,BE,11522440,BE,Age70_79,COM,924351
2020-W53,474,,0,0,,BE,11522440,BE,Age80+,COM,656762
2020-W53,0,,0,0,,BE,11522440,BE,AgeUNK,COM,
2020-W53,210,,0,0,,BE,11522440,BE,HCW,COM,
2020-W53,584,,0,0,,BE,11522440,BE,LTCF,COM,
2021-W01,19910,,0,0,,BE,11522440,BE,1_Age60+,COM,2928626
2021-W01,6587,,0,0,,BE,11522440,BE,1_Age<60,COM,6273570
2021-W01,26497,,0,0,162825,BE,11522440,BE,ALL,COM,9202196
2021-W01,320,,0,0,,BE,11522440,BE,Age18_24,COM,930629
2021-W01,3872,,0,0,,BE,11522440,BE,Age25_49,COM,3751281
2021-W01,2386,,0,0,,BE,11522440,BE,Age50_59,COM,1591660
