new_cases,activos,hospitalized,intensive_care,deceased,recovered,num_casos,vac_dosis_administradas,vac_dosis_pauta_completada
14576.0,0.0,489103.0,85961.0,1581243.0,0.0,363280.0,94912152.0,28957488.0
74515.0,1827567.0,177593.0,24217.0,759749.0,0.0,92786.0,17290741.0,5395906.0
48815.0,0.0,81318.0,19114.0,354923.0,0.0,33781.0,15875064.0,5331359.0
13633.0,578686.0,80234.0,19008.0,164915.0,0.0,49611.0,10322221.0,2861361.0
53731.0,690798.0,88242.0,20258.0,137904.0,0.0,32679.0,20368991.0,6022009.0
0.0,0.0,39533.0,6488.0,129404.0,0.0,21694.0,7467441.0,2408748.0
10606.0,313827.0,226868.0,18992.0,1563018.0,0.0,139550.0,23875411.0,7538177.0
229777.0,0.0,271329.0,57416.0,2527347.0,0.0,168314.0,34420896.0,11192019.0
39124.0,0.0,491480.0,104548.0,6218357.0,0.0,467867.0,84946037.0,24397826.0
4431.0,35723.0,4724.0,1255.0,14948.0,227782.0,3758.0,668651.0,178042.0
355890.0,81503.0,336057.0,60447.0,1233568.0,0.0,269802.0,50792005.0,14763749.0
75199.0,56026.0,70681.0,9776.0,372684.0,0.0,60359.0,14823871.0,4707079.0
0.0,0.0,115101.0,19254.0,442375.0,0.0,86751.0,34837362.0,10051471.0
0.0,0.0,1269504.0,176598.0,4699008.0,0.0,493480.0,71425024.0,20364366.0
0.0,170962.0,6440.0,1353.0,11883.0,1037740.0,5673.0,637020.0,176580.0
97708.0,16884.0,94365.0,25049.0,243165.0,81428.0,90861.0,15533184.0,4896228.0
0.0,0.0,34981.0,14616.0,302803.0,0.0,47106.0,7890310.0,2421581.0
148145.0,34549.0,226599.0,37917.0,975659.0,0.0,128175.0,22654763.0,6348241.0
199.0,253217.0,21645.0,10521.0,200645.0,0.0,23899.0,4124484.0,1215033.0
